category_id,category_group,category_desc
54135bf5e4b08f3d2429dfe3,Food,Dosa Place
54135bf5e4b08f3d2429dfe8,Food,Goan Restaurant
54135bf5e4b08f3d2429dfe9,Food,Gujarati Restaurant
54135bf5e4b08f3d2429dfe6,Food,Hyderabadi Restaurant
54135bf5e4b08f3d2429dfdf,Food,Indian Chinese Restaurant
54135bf5e4b08f3d2429dfe4,Food,Indian Sweet Shop
54135bf5e4b08f3d2429dfe7,Food,Irani Cafe
54135bf5e4b08f3d2429dfea,Food,Jain Restaurant
54135bf5e4b08f3d2429dfeb,Food,Karnataka Restaurant
54135bf5e4b08f3d2429dfed,Food,Kerala Restaurant
54135bf5e4b08f3d2429dfee,Food,Maharashtrian Restaurant
54135bf5e4b08f3d2429dff4,Food,Mughlai Restaurant
54135bf5e4b08f3d2429dfe0,Food,Multicuisine Indian Restaurant
54135bf5e4b08f3d2429dfdd,Food,North Indian Restaurant
54135bf5e4b08f3d2429dff6,Food,Northeast Indian Restaurant
54135bf5e4b08f3d2429dfef,Food,Parsi Restaurant
54135bf5e4b08f3d2429dff0,Food,Punjabi Restaurant
54135bf5e4b08f3d2429dff1,Food,Rajasthani Restaurant
54135bf5e4b08f3d2429dfde,Food,South Indian Restaurant
54135bf5e4b08f3d2429dfec,Food,Udupi Restaurant
52e81612bcbc57f1066b7a06,Food,Irish Pub
4bf58dd8d48988d110941735,Food,Italian Restaurant
55a5a1ebe4b013909087cbb6,Food,Abruzzo Restaurant
55a5a1ebe4b013909087cb7c,Food,Agriturismo
55a5a1ebe4b013909087cba7,Food,Aosta Restaurant
55a5a1ebe4b013909087cba1,Food,Basilicata Restaurant
55a5a1ebe4b013909087cba4,Food,Calabria Restaurant
55a5a1ebe4b013909087cb95,Food,Campanian Restaurant
55a5a1ebe4b013909087cb89,Food,Emilia Restaurant
55a5a1ebe4b013909087cb9b,Food,Friuli Restaurant
55a5a1ebe4b013909087cb98,Food,Ligurian Restaurant
55a5a1ebe4b013909087cbbf,Food,Lombard Restaurant
55a5a1ebe4b013909087cb79,Food,Malga
55a5a1ebe4b013909087cbb0,Food,Marche Restaurant
55a5a1ebe4b013909087cbb3,Food,Molise Restaurant
55a5a1ebe4b013909087cb74,Food,Piadineria
55a5a1ebe4b013909087cbaa,Food,Piedmontese Restaurant
55a5a1ebe4b013909087cb83,Food,Puglia Restaurant
